asin,ship_state_or_territory,category,regional_orders,rank
B09SDZ4XRT,maharashtra,kurta,28,1
B082W87NQF,kerala,kurta,28,2
B09NQ4C51C,karnataka,set,28,1
B08XQ8MCKP,uttar pradesh,set,28,4
B09NQ4C51C,maharashtra,set,28,2
B09K3WFS32,maharashtra,kurta,28,1
B09831FVYR,maharashtra,western dress,28,1
B082W8354V,maharashtra,kurta,28,3
B082W8F8P3,tamil nadu,kurta,28,3
B09831T4CQ,telangana,western dress,28,2
B08XNJ19QH,haryana,set,28,5
B08RYPWC3J,karnataka,top,28,2
B09KXSQ73F,karnataka,set,28,1
B08N43MK22,maharashtra,top,28,1
B082W8BXW1,tamil nadu,kurta,28,3
B08XNHXSFZ,uttar pradesh,set,28,3
B099FCT65D,maharashtra,kurta,28,1
B082W8BXW1,kerala,kurta,28,4
B08N4RDVZP,maharashtra,top,28,1
B09SDYL6L1,maharashtra,kurta,28,1
B099NS55L1,karnataka,western dress,27,1
B099NFZJVC,maharashtra,set,27,1
B0894YTN3H,karnataka,set,27,2
B077MM3LFJ,tamil nadu,kurta,27,1
B081WT6GG7,tamil nadu,kurta,27,2
B08XNJ19QH,bihar,set,27,6
B08WPTJBBD,karnataka,kurta,27,1
B08XNJ8P3S,uttar pradesh,set,27,3
B08N4H7B3Y,maharashtra,top,27,1
B08XQ98B2Q,tamil nadu,set,27,4
B08B3Z2YY3,telangana,set,27,4
B0982ZJ666,telangana,western dress,27,1
B07R5X9WJB,telangana,kurta,27,3
B081WSCKPQ,delhi,kurta,27,8
B082W87NQF,karnataka,kurta,27,3
B07R41RZV7,tamil nadu,kurta,27,1
B08XQ8MCKP,telangana,set,27,5
B081WSWWL7,telangana,kurta,27,3
B09KXSQ73F,maharashtra,set,27,2
B08YN44FZJ,karnataka,set,27,1
B099NS55L1,tamil nadu,western dress,26,2
B082W7GVH7,karnataka,kurta,26,1
B099NTV5ZV,maharashtra,western dress,26,1
B09NQ3MPRM,maharashtra,set,26,2
B077MM3LFJ,karnataka,kurta,26,2
B09SDXQ3X9,maharashtra,western dress,26,1
B09K3Y42F5,maharashtra,kurta,26,1
B09KXV94NJ,karnataka,set,26,1
B08XQ8R6GW,maharashtra,set,26,1
B099NQJZPQ,karnataka,western dress,26,2
B099NSQP4Z,karnataka,western dress,26,2
B082W8354V,telangana,kurta,26,4
B08XQ98B2Q,west bengal,set,26,5
B09SDXG1CP,maharashtra,western dress,26,1
B08XQBXFPP,karnataka,set,26,2
B081WX4G4Q,telangana,kurta,26,6
B08BFT4ZKX,tamil nadu,kurta,26,1
B098315N2Z,karnataka,western dress,26,2
B081WVMMCY,west bengal,kurta,25,5
B07R5X9WJB,maharashtra,kurta,25,4
B081WPK66G,maharashtra,kurta,25,1
B099NQJZPQ,telangana,western dress,25,3
B07H7DZXJ5,tamil nadu,kurta,25,1
B09SDXFFQ1,west bengal,western dress,25,9
B082W8B28G,kerala,kurta,25,4
B09NDMP4XK,maharashtra,set,25,1
B08N4QTQHW,maharashtra,top,25,1
B099S9DTR2,maharashtra,top,25,1
B0894WW15B,telangana,set,25,4
B08XQ8R6GW,karnataka,set,25,2
B09SDY9SQ6,uttar pradesh,western dress,25,6
B099NQQ79L,andhra pradesh,western dress,25,5
B0894WWGK9,maharashtra,set,25,1
B09SDZ64HF,maharashtra,western dress,25,1
B08XNJG8B1,haryana,set,25,6
B08RP3TP66,maharashtra,kurta,25,1
B08RNX8Q22,maharashtra,kurta,25,1
B09NQ51CH7,karnataka,set,25,2
B0983F3BLZ,maharashtra,set,25,1
B081WSWWL7,karnataka,kurta,25,4
B09SDXQ3X9,kerala,western dress,25,2
B0894XH3LN,telangana,set,24,4
B08B3Z2YY3,delhi,set,24,5
B09SDXQ3X9,karnataka,western dress,24,3
B0894Y3VBB,telangana,set,24,3
B09KXSVTDB,karnataka,set,24,1
B09NDKQD88,karnataka,set,24,1
B081WT6GG7,karnataka,kurta,24,3
B0894X27FC,delhi,set,24,4
B099NSQP4Z,telangana,western dress,24,3
B09831N6TV,maharashtra,western dress,24,1
B0982ZDZ8H,telangana,western dress,24,2
B0894YFQ5R,uttar pradesh,set,24,2
B082W7DFR9,tamil nadu,kurta,24,1
B08WPR181B,maharashtra,kurta,24,1
B08XNJ19QH,telangana,set,24,7
B099NJKJ54,karnataka,set,24,2
B08B3XS7ST,maharashtra,set,24,1
B081WZ4T3V,uttar pradesh,kurta,24,3
B07R41RZV7,karnataka,kurta,24,2
B0982ZDZ8H,karnataka,western dress,24,1
B08RP69C9N,karnataka,kurta,24,2
B08WPTJBBD,maharashtra,kurta,24,2
B09RKFDT7Q,maharashtra,set,24,2
B09K3TM23D,maharashtra,kurta,23,1
B08N4RDVZP,karnataka,top,23,2
B09SDYWXDS,karnataka,western dress,23,1
B09SDY8DCT,andhra pradesh,western dress,23,8
B08ZHNGS54,maharashtra,top,23,1
B089G1ZNLX,karnataka,set,23,1
B099NJV9X7,maharashtra,set,23,1
B08KRTXC2Y,karnataka,kurta,23,2
B099S8X47K,maharashtra,top,23,1
B082W8RWN1,kerala,kurta,23,4
B082W8RWN1,telangana,kurta,23,5
B08XQBXFPP,tamil nadu,set,23,3
B0894Y3VBB,delhi,set,23,4
B08RYPRVPV,delhi,top,23,2
B07GRQVB2G,maharashtra,kurta,23,1
B08XNGQCGM,uttar pradesh,set,23,1
B09TH73PT5,kerala,western dress,23,3
B08RYQNCQ1,maharashtra,top,23,1
B09NQ4CZ65,maharashtra,set,23,1
B082W7GVH7,maharashtra,kurta,23,2
B08RP67NGB,karnataka,kurta,23,2
B09K3XXDMR,maharashtra,kurta,23,1
B0894X27FC,telangana,set,23,5
B09SDZ4XRT,telangana,kurta,23,3
B09SDZ4XRT,karnataka,kurta,23,2
B09KXV6T8Q,maharashtra,set,23,2
B09K3Y42F5,karnataka,kurta,23,2
B07R5X9WJB,karnataka,kurta,23,5
B09KXV6T8Q,tamil nadu,set,23,3
B08N4XHHCQ,maharashtra,top,23,1
B09NDKJKPN,maharashtra,set,23,1
B09RKD6KWL,uttar pradesh,set,23,2
B08YN44FZJ,maharashtra,set,22,2
